과목번호 , 분반 , 년도 , 학기 , 캠퍼스 , 대학 , 개설학과 , 과목명 , 담당교수 , 학점 , 이수구분 , 이론/실습 , 비고
13601,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 알고리즘 , 김대원 ,3, 전공필수 , 이론 , 코드쉐어
13601,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 알고리즘 , 김대원 ,3, 전공필수 , 이론 , 코드쉐어
13601,4,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 알고리즘 , 이남규 ,3, 전공필수 , 이론 , null
13601,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 알고리즘 (영어A강의), 백정엽 ,3, 전공필수 , 이론 , 코드쉐어
53089,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 오픈소스SW프로젝트 , 김효수 ,3, 전공 , 이론 , null
15841,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 운영체제 , 김성조 ,3, 전공 , 이론 , 코드쉐어
15841,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 운영체제 , 박재현 ,3, 전공 , 이론 , 코드쉐어
15841,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 운영체제 , 박재현 ,3, 전공 , 이론 , 코드쉐어
52321,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 컴파일러 (영어A강의)   , 김중헌 ,3, 전공 , 이론 , null
52321,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 컴파일러 (영어A강의)   , 김효수 ,3, 전공 , 이론 , null
50254,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 휴먼 ICT 소프트웨어공학 , 이찬근 ,3, 전공 , 이론 , 설계1  
50254,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 휴먼 ICT 소프트웨어공학 , 이찬근 ,3, 전공 , 이론 , 설계1  
50254,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 휴먼 ICT 소프트웨어공학 (영어A강의)   , 송인식 ,3, 전공 , 이론 , 설계1  
50254,4,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 휴먼 ICT 소프트웨어공학 (영어A강의)   , 송인식 ,3, 전공 , 이론 , 설계1  
34584,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , DB시스템및프로그래밍 , 강현철 ,3, 전공 , 이론 , 설계1  
53875,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , SW커리어세미나(1)   , 강윤정 ,1, 전공 , 이론 , null
34579,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 네트워크응용설계 (영어A강의)   , 백정엽 ,3, 전공 , 이론 , 설계1  
53853,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 산업체인턴쉽 , 홍원길 ,1, 전공필수 , 이론 , null
53091,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 생체인식 및 응용 , 권영빈 ,3, 전공 , 이론 , null
53849,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 자연어처리 및 정보검색 (영어A강의)   , 정재은 ,3, 전공 , 이론 , null
53849,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 자연어처리 및 정보검색 (영어A강의)   , 정재은 ,3, 전공 , 이론 , null
18927,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 정보보호이론 , 김성권 ,3, 전공 , 이론 , null
18927,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 정보보호이론 , 김성권 ,3, 전공 , 이론 , null
50179,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 캡스톤디자인(2)   , 박상오 ,2, 전공 , 이론 , 설계2  
50179,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 캡스톤디자인(2)   , 박상오 ,2, 전공 , 이론 , 설계2  
50179,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 캡스톤디자인(2)  (영어A강의)   , 권영빈 ,2, 전공 , 이론 , 설계2  
50179,4,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 캡스톤디자인(2)   (영어A강의)   , 박상오 ,2, 전공 , 이론 , 설계2  
51282,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 컨텐츠기반무선이동통신 (영어A강의)   , 조성래 ,3, 전공 , 이론 , null
21449,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 컴퓨터그래픽스 , 윤경현 ,3, 전공 , 이론 , null
49147,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 패턴인식 (영어A강의)   , 홍병우 ,3, 전공 , 이론 , null
